Name,Pickup,Dropoff,Google Distance,bike,car,deviation_bike,deviation_car
Azad Mosque (Dhanmondi) To Ramna ,"23.723160254991075, 90.38771374929166","23.733010605825754, 90.39838923841842",2.4,2.09,2.09,-0.31,-0.31
Azad Mosque (Dhanmondi) To Housebuilding,"23.723160254991075, 90.38771374929166","23.87472562982738, 90.40055033910889",26.7,20.08,20.08,-6.62,-6.62
Azad Mosque (Dhanmondi) To Shyamoli,"23.723160254991075, 90.38771374929166","23.770944853769944, 90.3643630494088",7.4,6.29,6.29,-1.11,-1.11
Azad Mosque (Dhanmondi) To Pallabi,"23.723160254991075, 90.38771374929166","23.82643315131396, 90.3642554210073",14.7,13.22,13.22,-1.48,-1.48
Azad Mosque (Dhanmondi) To Kafrul,"23.723160254991075, 90.38771374929166","23.78978600718145, 90.39142758659793",10.2,9.95,9.95,-0.25,-0.25
Azad Mosque (Dhanmondi) To Rajlokkhi,"23.723160254991075, 90.38771374929166","23.864377863996197, 90.39974742376492",19.0,18.95,18.95,-0.05,-0.05
Azad Mosque (Dhanmondi) To Dhanmondi,"23.723160254991075, 90.38771374929166","23.747251484283616, 90.37349526264282",4.2,3.75,3.75,-0.45,-0.45
Azad Mosque (Dhanmondi) To Mohammodia Housing Society,"23.723160254991075, 90.38771374929166","23.76372750425014, 90.35571965482585",7.3,6.85,6.85,-0.45,-0.45
Azad Mosque (Dhanmondi) To Dhaka Cantonment,"23.723160254991075, 90.38771374929166","23.828588827218468, 90.38836748788904",18.8,14.69,14.63,-4.11,-4.17
Azad Mosque (Dhanmondi) To Khilgaon,"23.723160254991075, 90.38771374929166","23.74763244661704, 90.42879851841103",7.2,6.12,6.12,-1.08,-1.08
Azad Mosque (Dhanmondi) To Badda,"23.723160254991075, 90.38771374929166","23.780679309432028, 90.42591699265579",10.4,9.24,9.24,-1.16,-1.16
Azad Mosque (Dhanmondi) To Basabo,"23.723160254991075, 90.38771374929166","23.743101986295244, 90.4301973345579",7.4,6.36,6.36,-1.04,-1.04
Azad Mosque (Dhanmondi) To Rampura,"23.723160254991075, 90.38771374929166","23.761694273191036, 90.42082319633694",7.4,7.18,7.18,-0.22,-0.22
Azad Mosque (Dhanmondi) To Kamalapur,"23.723160254991075, 90.38771374929166","23.733822047994106, 90.4262837483779",6.8,5.66,5.66,-1.14,-1.14
Azad Mosque (Dhanmondi) To Airport,"23.723160254991075, 90.38771374929166","23.843944683686694, 90.40309686088067",17.2,17.57,17.57,0.37,0.37
Azad Mosque (Dhanmondi) To Mirpur DOHS,"23.723160254991075, 90.38771374929166","23.836550426406184, 90.36930257291579",17.6,17.52,17.52,-0.08,-0.08
Azad Mosque (Dhanmondi) To Adabor,"23.723160254991075, 90.38771374929166","23.77334452925566, 90.35491227902814",8.0,7.54,7.54,-0.46,-0.46
Azad Mosque (Dhanmondi) To Lalmatia,"23.723160254991075, 90.38771374929166","23.7563717097249, 90.36813780715765",5.4,4.94,4.94,-0.46,-0.46
Azad Mosque (Dhanmondi) To Kalabagan,"23.723160254991075, 90.38771374929166","23.749675005293483, 90.38277511898877",4.2,3.36,3.36,-0.84,-0.84
Azad Mosque (Dhanmondi) To Mohakhali DOHS,"23.723160254991075, 90.38771374929166","23.78305224016706, 90.39525837210826",8.1,8.39,8.39,0.29,0.29
Azad Mosque (Dhanmondi) To Nikunja,"23.723160254991075, 90.38771374929166","23.83201349199618, 90.41755656787933",15.3,15.17,15.17,-0.13,-0.13
Azad Mosque (Dhanmondi) To Gulshan 1,"23.723160254991075, 90.38771374929166","23.780471476689158, 90.4167028225868",9.1,8.88,8.88,-0.22,-0.22
Dhanmondi Road 1 To Old Dhaka,"23.73892674599274, 90.38323055613314","23.723373520317594, 90.3874611621029",2.3,3.11,3.11,0.81,0.81
Dhanmondi Road 1 To Purana Paltan,"23.73892674599274, 90.38323055613314","23.732273701219974, 90.41057223329862",4.6,4.85,4.85,0.25,0.25
Dhanmondi Road 1 To Kotwali,"23.73892674599274, 90.38323055613314","23.71018267717421, 90.40675573653705",6.1,6.3,6.3,0.2,0.2
Dhanmondi Road 1 To Armanitola,"23.73892674599274, 90.38323055613314","23.714474789970428, 90.40166961414154",5.1,5.96,5.96,0.86,0.86
Dhanmondi Road 1 To Chawkbazar,"23.73892674599274, 90.38323055613314","23.71657179212861, 90.39603086053421",4.6,4.86,4.86,0.26,0.26
Dhanmondi Road 1 To Motijheel,"23.73892674599274, 90.38323055613314","23.73303447928996, 90.41716489453002",6.0,5.76,5.76,-0.24,-0.24
Dhanmondi Road 1 To Tejgaon,"23.73892674599274, 90.38323055613314","23.75971835986349, 90.39091349447644",3.6,3.81,3.81,0.21,0.21
Dhanmondi Road 1 To Dhanmondi,"23.73892674599274, 90.38323055613314","23.74619071709292, 90.37421746317516",2.0,2.0,2.0,-0.0,-0.0
Dhanmondi Road 1 To Uttara,"23.73892674599274, 90.38323055613314","23.87416897344832, 90.39108988158193",20.2,19.54,19.54,-0.66,-0.66
Dhanmondi Road 1 To Mirpur,"23.73892674599274, 90.38323055613314","23.821928567297416, 90.36536926358303",11.8,11.45,11.45,-0.35,-0.35
Dhanmondi Road 1 To Mohammadpur,"23.73892674599274, 90.38323055613314","23.765874377010654, 90.3583108475684",4.8,4.91,4.91,0.11,0.11
Dhanmondi Road 1 To Gulshan 2,"23.73892674599274, 90.38323055613314","23.79479345976617, 90.41426510375673",11.9,10.59,10.59,-1.31,-1.31
Dhanmondi Road 1 To Banani,"23.73892674599274, 90.38323055613314","23.79357718124646, 90.40647799545194",11.1,9.66,9.66,-1.44,-1.44
Dhanmondi Road 1 To Baridhara,"23.73892674599274, 90.38323055613314","23.799984097716813, 90.42072145456558",13.0,11.72,11.72,-1.28,-1.28
Dhanmondi Road 1 To Bashundhara Residential Area (R/A),"23.73892674599274, 90.38323055613314","23.819979047760953, 90.43602058563276",19.9,18.2,18.2,-1.7,-1.7
Dhanmondi Road 1 to Farmgate,"23.73892674599274, 90.38323055613315","23.756163702068022, 90.38739806979204",3.8,3.24,3.24,-0.56,-0.56
Dhanmondi Road 1 To Agargaon,"23.73892674599274, 90.38323055613314","23.756144062543118, 90.38715130656637",3.8,3.24,3.24,-0.56,-0.56
Dhanmondi Road 1 To Shahbagh,"23.73892674599274, 90.38323055613314","23.74017563163622, 90.39436204349248",2.6,2.59,2.59,-0.01,-0.01
Dhanmondi Road 1 To Khilkhet,"23.73892674599274, 90.38323055613314","23.83110709772559, 90.42433287878252",17.6,16.18,16.18,-1.42,-1.42
Dhanmondi Road 1 To Uttarkhan,"23.73892674599274, 90.38323055613314","23.87265592237122, 90.44814494717664",27.5,24.73,24.48,-2.77,-3.02
Dhanmondi Road 1 To Dakshinkhan,"23.73892674599274, 90.38323055613314","23.85222513782949, 90.42655359169058",21.1,18.18,18.18,-2.92,-2.92
Dhanmondi Road 1 To Banasree,"23.73892674599274, 90.38323055613314","23.762013826955457, 90.43335231871605",8.9,8.65,9.44,-0.25,0.54
Dhanmondi Road 1 To Aftab Nagar,"23.73892674599274, 90.38323055613314","23.764255603444784, 90.44664310179195",13.0,12.0,12.0,-1.0,-1.0
Dhanmondi Road 1 To Kawran Bazar,"23.73892674599274, 90.38323055613314","23.75164653195784, 90.39422350524823",3.0,3.5,3.5,0.5,0.5
Dhanmondi Road 1 To Malibagh,"23.73892674599274, 90.38323055613314","23.747044462653157, 90.41281377715275",5.8,5.81,5.81,0.01,0.01
Dhanmondi Road 1 To New Market,"23.73892674599274, 90.38323055613314","23.733043526135777, 90.38469965072998",2.7,2.64,2.64,-0.06,-0.06
Dhanmondi Road 1 To Naya Paltan,"23.73892674599274, 90.38323055613314","23.734460151459288, 90.41363525645356",4.9,5.66,5.66,0.76,0.76
Dhanmondi Road 1 To Airport Railway Station,"23.73892674599274, 90.38323055613314","23.85203431654994, 90.40809109492858",19.9,18.5,18.5,-1.4,-1.4
Dhanmondi Road 1 To Niketon,"23.73892674599274, 90.38323055613314","23.773018687295217, 90.40964243938514",7.4,6.98,6.98,-0.42,-0.42
Dhanmondi Road 1 To Wari,"23.73892674599274, 90.38323055613314","23.71719499147384, 90.41789022209967",7.8,7.73,7.45,-0.07,-0.35
Dhanmondi Road 1 To Segunbagicha,"23.73892674599274, 90.38323055613314","23.731501348262384, 90.40676928065153",4.1,5.63,5.63,1.53,1.53
Dhanmondi Road 1 To Motsho Bhaban,"23.73892674599274, 90.38323055613314","23.73418396434512, 90.40405739492458",4.0,4.41,4.41,0.41,0.41
Dhanmondi Road 1 To Shantinagar,"23.73892674599274, 90.38323055613314","23.738192811403504, 90.41416757924095",5.3,5.23,5.22,-0.07,-0.08
Dhanmondi Road 1 To Jatrabari,"23.73892674599274, 90.38323055613314","23.710369545363513, 90.43442350268623",8.4,10.0,10.0,1.6,1.6
Dhanmondi Road 1 To Sadarghat,"23.73892674599274, 90.38323055613314","23.704868129402115, 90.4157283750005",7.4,7.54,7.54,0.14,0.14
Dhanmondi Road 1 To Mohakhali,"23.73892674599274, 90.38323055613314","23.777854677596434, 90.4057479875048",7.6,7.72,7.72,0.12,0.12
Dhanmondi Road 1 To Banani DOHS,"23.73892674599274, 90.38323055613314","23.79326478964714, 90.39893695630103",8.1,8.28,8.28,0.18,0.18
