Name,Pickup,Dropoff,Google Distance
Azad Mosque (Dhanmondi) To Basabo,"23.723160254991075, 90.38771374929166","23.743101986295244, 90.4301973345579",7.4
Azad Mosque (Dhanmondi) To Rampura,"23.723160254991075, 90.38771374929166","23.761694273191036, 90.42082319633694",7.4
Azad Mosque (Dhanmondi) To Kamalapur,"23.723160254991075, 90.38771374929166","23.733822047994106, 90.4262837483779",6.8
Azad Mosque (Dhanmondi) To Airport,"23.723160254991075, 90.38771374929166","23.843944683686694, 90.40309686088067",17.2
Azad Mosque (Dhanmondi) To Mirpur DOHS,"23.723160254991075, 90.38771374929166","23.836550426406184, 90.36930257291579",17.6
Azad Mosque (Dhanmondi) To Adabor,"23.723160254991075, 90.38771374929166","23.77334452925566, 90.35491227902814",8
Azad Mosque (Dhanmondi) To Lalmatia,"23.723160254991075, 90.38771374929166","23.7563717097249, 90.36813780715765",5.4
Azad Mosque (Dhanmondi) To Kalabagan,"23.723160254991075, 90.38771374929166","23.749675005293483, 90.38277511898877",4.2
Azad Mosque (Dhanmondi) To Mohakhali DOHS,"23.723160254991075, 90.38771374929166","23.78305224016706, 90.39525837210826",8.1
Azad Mosque (Dhanmondi) To Nikunja,"23.723160254991075, 90.38771374929166","23.83201349199618, 90.41755656787933",15.3
Azad Mosque (Dhanmondi) To Gulshan 1,"23.723160254991075, 90.38771374929166","23.780471476689158, 90.4167028225868",9.1
Dhanmondi Road 1 To Old Dhaka,"23.73892674599274, 90.38323055613314","23.723373520317594, 90.3874611621029",2.3
Dhanmondi Road 1 To Purana Paltan,"23.73892674599274, 90.38323055613314","23.732273701219974, 90.41057223329862",4.6
Dhanmondi Road 1 To Kotwali,"23.73892674599274, 90.38323055613314","23.71018267717421, 90.40675573653705",6.1
Dhanmondi Road 1 To Armanitola,"23.73892674599274, 90.38323055613314","23.714474789970428, 90.40166961414154",5.1
Dhanmondi Road 1 To Chawkbazar,"23.73892674599274, 90.38323055613314","23.71657179212861, 90.39603086053421",4.6
Dhanmondi Road 1 To Motijheel,"23.73892674599274, 90.38323055613314","23.73303447928996, 90.41716489453002",6
Dhanmondi Road 1 To Tejgaon,"23.73892674599274, 90.38323055613314","23.75971835986349, 90.39091349447644",3.6
Dhanmondi Road 1 To Dhanmondi,"23.73892674599274, 90.38323055613314","23.74619071709292, 90.37421746317516",2
Dhanmondi Road 1 To Uttara,"23.73892674599274, 90.38323055613314","23.87416897344832, 90.39108988158193",20.2
Dhanmondi Road 1 To Mirpur,"23.73892674599274, 90.38323055613314","23.821928567297416, 90.36536926358303",11.8
Dhanmondi Road 1 To Mohammadpur,"23.73892674599274, 90.38323055613314","23.765874377010654, 90.3583108475684",4.8
Dhanmondi Road 1 To Gulshan 2,"23.73892674599274, 90.38323055613314","23.79479345976617, 90.41426510375673",11.9
Dhanmondi Road 1 To Banani,"23.73892674599274, 90.38323055613314","23.79357718124646, 90.40647799545194",11.1
Dhanmondi Road 1 To Baridhara,"23.73892674599274, 90.38323055613314","23.799984097716813, 90.42072145456558",13
Dhanmondi Road 1 To Bashundhara Residential Area (R/A),"23.73892674599274, 90.38323055613314","23.819979047760953, 90.43602058563276",19.9
Dhanmondi Road 1 to Farmgate,"23.73892674599274, 90.38323055613315","23.756163702068022, 90.38739806979204",3.8
Dhanmondi Road 1 To Agargaon,"23.73892674599274, 90.38323055613314","23.756144062543118, 90.38715130656637",3.8
Dhanmondi Road 1 To Shahbagh,"23.73892674599274, 90.38323055613314","23.74017563163622, 90.39436204349248",2.6
Dhanmondi Road 1 To Khilkhet,"23.73892674599274, 90.38323055613314","23.83110709772559, 90.42433287878252",17.6
Dhanmondi Road 1 To Uttarkhan,"23.73892674599274, 90.38323055613314","23.87265592237122, 90.44814494717664",27.5
Dhanmondi Road 1 To Dakshinkhan,"23.73892674599274, 90.38323055613314","23.85222513782949, 90.42655359169058",21.1
Dhanmondi Road 1 To Banasree,"23.73892674599274, 90.38323055613314","23.762013826955457, 90.43335231871605",8.9
Dhanmondi Road 1 To Aftab Nagar,"23.73892674599274, 90.38323055613314","23.764255603444784, 90.44664310179195",13
Dhanmondi Road 1 To Kawran Bazar,"23.73892674599274, 90.38323055613314","23.75164653195784, 90.39422350524823",3
Dhanmondi Road 1 To Malibagh,"23.73892674599274, 90.38323055613314","23.747044462653157, 90.41281377715275",5.8
Dhanmondi Road 1 To New Market,"23.73892674599274, 90.38323055613314","23.733043526135777, 90.38469965072998",2.7
Dhanmondi Road 1 To Naya Paltan,"23.73892674599274, 90.38323055613314","23.734460151459288, 90.41363525645356",4.9
Dhanmondi Road 1 To Airport Railway Station,"23.73892674599274, 90.38323055613314","23.85203431654994, 90.40809109492858",19.9
Dhanmondi Road 1 To Niketon,"23.73892674599274, 90.38323055613314","23.773018687295217, 90.40964243938514",7.4
Dhanmondi Road 1 To Wari,"23.73892674599274, 90.38323055613314","23.71719499147384, 90.41789022209967",7.8
Dhanmondi Road 1 To Segunbagicha,"23.73892674599274, 90.38323055613314","23.731501348262384, 90.40676928065153",4.1
Dhanmondi Road 1 To Motsho Bhaban,"23.73892674599274, 90.38323055613314","23.73418396434512, 90.40405739492458",4
Dhanmondi Road 1 To Shantinagar,"23.73892674599274, 90.38323055613314","23.738192811403504, 90.41416757924095",5.3
Dhanmondi Road 1 To Jatrabari,"23.73892674599274, 90.38323055613314","23.710369545363513, 90.43442350268623",8.4
Dhanmondi Road 1 To Sadarghat,"23.73892674599274, 90.38323055613314","23.704868129402115, 90.4157283750005",7.4
Dhanmondi Road 1 To Mohakhali,"23.73892674599274, 90.38323055613314","23.777854677596434, 90.4057479875048",7.6
Dhanmondi Road 1 To Banani DOHS,"23.73892674599274, 90.38323055613314","23.79326478964714, 90.39893695630103",8.1
Dhanmondi Road 1 To Baridhara DOHS,"23.73892674599274, 90.38323055613314","23.8125933316261, 90.41299491840999",13.1
Dhanmondi Road 1 To Abdullahpur,"23.73892674599274, 90.38323055613314","23.880087376148854, 90.40108172376549",20.8
Dhanmondi Road 1 To Ramna,"23.73892674599274, 90.38323055613314","23.733010605825754, 90.39838923841842",3.7
Dhanmondi Road 1 To Housebuilding ,"23.73892674599274, 90.38323055613314","23.87472562982738, 90.40055033910889",26.7
Dhanmondi Road 1 To Shyamoli,"23.73892674599274, 90.38323055613314","23.770944853769944, 90.3643630494088",5.4
Dhanmondi Road 1 To Pallabi,"23.73892674599274, 90.38323055613314","23.82643315131396, 90.3642554210073",12.8
Dhanmondi Road 1 To Kafrul,"23.73892674599274, 90.38323055613314","23.78978600718145, 90.39142758659793",10.1
Dhanmondi Road 1 To Azimpur,"23.73892674599274, 90.38323055613314","23.727412937869925, 90.38607767473717",3.4
Dhanmondi Road 1 To Rajlokkhi,"23.73892674599274, 90.38323055613314","23.864377863996197, 90.39974742376492",20.4
Dhanmondi Road 1 To Dhanmondi,"23.73892674599274, 90.38323055613314","23.747251484283616, 90.37349526264282",2.7
Dhanmondi Road 1 To Mohammadia Housing Society,"23.73892674599274, 90.38323055613314","23.76372750425014, 90.35571965482585",4.8
Dhanmondi Road 1 To Dhaka Cantonment,"23.73892674599274, 90.38323055613314","23.828588827218468, 90.38836748788904",18.8
Dhanmondi Road 1 To Khilgaon,"23.73892674599274, 90.38323055613314","23.74763244661704, 90.42879851841103",7.2
Dhanmondi Road 1 To Badda,"23.73892674599274, 90.38323055613314","23.780679309432028, 90.42591699265579",9.4
Dhanmondi Road 1 To Basabo,"23.73892674599274, 90.38323055613314","23.743101986295244, 90.4301973345579",7.4
Dhanmondi Road 1 To Rampura,"23.73892674599274, 90.38323055613314","23.761694273191036, 90.42082319633694",7.5
Dhanmondi Road 1 To Kamalapur,"23.73892674599274, 90.38323055613314","23.733822047994106, 90.4262837483779",6.8
Dhanmondi Road 1 To Airport ,"23.73892674599274, 90.38323055613314","23.843944683686694, 90.40309686088067",18.6
Dhanmondi Road 1 To Mirpur DOHS,"23.73892674599274, 90.38323055613314","23.836550426406184, 90.36930257291579",17.5
Dhanmondi Road 1 To Adabor,"23.73892674599274, 90.38323055613314","23.77334452925566, 90.35491227902814",6.9
Dhanmondi Road 1 To Lalmatia,"23.73892674599274, 90.38323055613314","23.7563717097249, 90.36813780715765",3.7
Dhanmondi Road 1 To Kalabagan,"23.73892674599274, 90.38323055613314","23.749675005293483, 90.38277511898877",3.3
Dhanmondi Road 1 To Mohakhali DOHS,"23.73892674599274, 90.38323055613314","23.78305224016706, 90.39525837210826",8.1
Dhanmondi Road 1 To Nikunja,"23.73892674599274, 90.38323055613314","23.83201349199618, 90.41755656787933",15.3
Dhanmondi Road 1 To Gulshan 1,"23.73892674599274, 90.38323055613314","23.780471476689158, 90.4167028225868",8
Mohakhali To Old Dhaka,"23.778030352558627, 90.39817508179783","23.722800923889817, 90.38755454198304",7.9
Mohakhali To Purana Paltan,"23.778030352558627, 90.39817508179783","23.732273701219974, 90.41057223329862",7.8
Mohakhali To Kotwali,"23.778030352558627, 90.39817508179783","23.71018267717421, 90.40675573653705",10.4
Mohakhali To Armanitola,"23.778030352558627, 90.39817508179783","23.714474789970428, 90.40166961414154",9.4
Mohakhali To Chawkbazar,"23.778030352558627, 90.39817508179783","23.71657179212861, 90.39603086053421",8.9
Mohakhali To Motijheel,"23.778030352558627, 90.39817508179783","23.73303447928996, 90.41716489453002",8.4
Mohakhali To Tejgaon,"23.778030352558627, 90.39817508179783","23.75971835986349, 90.39091349447644",3
Mohakhali To Dhanmondi,"23.778030352558627, 90.39817508179783","23.74619071709292, 90.37421746317516",6.4
Mohakhali To Uttara,"23.778030352558627, 90.39817508179783","23.87416897344832, 90.39108988158193",15.3
Mohakhali To Mirpur,"23.778030352558627, 90.39817508179783","23.821928567297416, 90.36536926358303",10.9
Mohakhali To Mohammadpur,"23.778030352558627, 90.39817508179783","23.765874377010654, 90.3583108475684",5.8
Mohakhali To Gulshan 2,"23.778030352558627, 90.39817508179783","23.79479345976617, 90.41426510375673",6.1
Mohakhali To Banani,"23.778030352558627, 90.39817508179783","23.79357718124646, 90.40647799545194",5.3
Mohakhali To Baridhara,"23.778030352558627, 90.39817508179783","23.799984097716813, 90.42072145456558",7.3
Mohakhali To Bashundhara Residential Area (R/A),"23.778030352558627, 90.39817508179783","23.819979047760953, 90.43602058563276",14.1
Mohakhali To Farmgate,"23.778030352558627, 90.39817508179783","23.756163702068022, 90.38739806979204",4.2
Mohakhali To Agargaon,"23.778030352558627, 90.39817508179783","23.779353185410912, 90.37363763218647",5.1
Mohakhali To Shahbagh,"23.778030352558627, 90.39817508179783","23.73923470150866, 90.39463700857138",6
Mohakhali To Khilkhet,"23.778030352558627, 90.39817508179783","23.831056137581886, 90.42409697444373",11.8
Mohakhali To Uttarkhan,"23.778030352558627, 90.39817508179783","23.87265592237122, 90.44814494717664",21.7
Mohakhali To Dakshinkhan,"23.778030352558627, 90.39817508179783","23.85222513782949, 90.42655359169058",14.1
Mohakhali To Banasree,"23.778030352558627, 90.39817508179783","23.762013826955457, 90.43335231871605",8.1
Mohakhali To Aftab Nagar,"23.778030352558627, 90.39817508179783","23.764255603444784, 90.44664310179195",7.4
Mohakhali To Kawran Bazar,"23.778030352558627, 90.39817508179783","23.75164653195784, 90.39422350524823",3.9
Mohakhali To Malibagh,"23.778030352558627, 90.39817508179783","23.747044462653157, 90.41281377715275",6.4
Mohakhali To New Market,"23.778030352558627, 90.39817508179783","23.733043526135777, 90.38469965072998",8.1
Mohakhali To Naya Paltan,"23.778030352558627, 90.39817508179783","23.734460151459288, 90.41363525645356",7.8
