estimated_pickup_latitude,estimated_pickup_longitude,pickup_hex,estimated_dropoff_latitude,estimated_dropoff_longitude,dropoff_hex
28.21876336,83.99776407,893c33a6617ffff,28.21966996,83.99747436,893c33a6617ffff
23.82547647,90.43183532,893cf13b1c3ffff,23.82545715,90.43180414,893cf13b1c3ffff
27.7048752,85.31354852,893c0299383ffff,27.7048752,85.31354852,893c0299383ffff
27.69616919,85.28198227,893c029966fffff,27.69472584,85.28205939,893c029966fffff
23.83435709,90.3665366,893cf10e99bffff,23.8341099,90.36657516,893cf10e99bffff
23.834981,90.418032,893cf13b543ffff,23.83491218,90.4178771,893cf13b543ffff
27.73741182,85.36077317,893c0299dd3ffff,27.73657153,85.35856297,893c0299dd3ffff
27.70616913,85.32598114,893c02993a7ffff,27.70613861,85.32595825,893c02993a7ffff
27.69483152,85.26994988,893c029964bffff,27.69490188,85.27000252,893c029964bffff
27.66969982,84.43821072,893c0659a73ffff,27.670626,84.4384613,893c0659a73ffff
27.76168115,85.30295949,893c029b167ffff,27.76168115,85.30295949,893c029b167ffff
27.69677597,85.29398046,893c029928fffff,27.6974321,85.29253357,893c029928fffff
27.70496307,85.31989429,893c02993bbffff,27.70496307,85.31989429,893c02993bbffff
27.72990291,85.34810442,893c0299c17ffff,27.7300624,85.3482187,893c0299c17ffff
27.68121405,85.47846314,893c0288567ffff,27.67865027,85.47760114,893c0288567ffff
27.67968298,85.31011686,893c02d6c13ffff,27.67946199,85.31084858,893c02d6c13ffff
27.70154571,85.31329975,893c029938bffff,27.7013314,85.31209562,893c029938bffff
23.79485613,90.41873483,893cf13b22bffff,23.79492107,90.41869621,893cf13b22bffff
27.68603297,85.34790594,893c02d6d37ffff,27.6870127,85.34745634,893c02d6d37ffff
27.66067977,85.32654965,893c02d6857ffff,27.65796842,85.32570067,893c02d6857ffff
23.73707187,90.41181191,893cf17651bffff,23.73688644,90.41237997,893cf17651bffff
27.70616913,85.32598114,893c02993a7ffff,27.70613861,85.32595825,893c02993a7ffff
23.75377998,90.38044989,893cf10caa3ffff,23.75378,90.38045,893cf10caa3ffff
23.7964213,90.40337607,893cf13b2cfffff,23.79587,90.40342,893cf13b2cfffff
