Pickup Area,"Popular Pickup Lat,Lon"
Manikdi,"23.82593570985342, 90.39192385561175"
Maniknagar,"23.72485081206341, 90.43458203803982"
Matikata,"23.820603531946713, 90.3904670372557"
Matuail,"23.705993968841632, 90.462391270285"
Mirpur 1,"23.799924575462516, 90.35540223205751"
Mirpur 10,"23.80719467382045, 90.36908602159754"
Mirpur 11,"23.818240932283558, 90.36712425455856"
Mirpur 12,"23.82880505133161, 90.36427498908792"
Mirpur 13,"23.81020599380865, 90.37763021591611"
Mirpur 14,"23.798882729366266, 90.38675997138121"
Mirpur 2,"23.807688826153495, 90.35653333865862"
Mirpur 6,"23.813477192366605, 90.3627958992709"
Mirpur Cantonment,"23.837133408249617, 90.36306303096637"
Mirpur DOHS,"23.836393407300772, 90.36762887451556"
Mitford Hospital,"23.710241130066684, 90.40146387971537"
Moghbazar,"23.749429419450692, 90.40863148744401"
Mohakhali,"23.777854677596434, 90.40604839490996"
Mohakhali Bus Stand,"23.772266301739617, 90.40155305511783"
Mohakhali DOHS,"23.78278751597978, 90.39544927255388"
Mohammadia Housing Society,"23.763101301949316, 90.35556289470746"
Mohammadpur,"23.7663733521534, 90.35838993349377"
Mohanogor Project,"23.76520526494669, 90.41386759492562"
Monipuripara,"23.761551705506246, 90.38597592588681"
Motijheel,"23.73295803071134, 90.41707926909248"
Nabinagar Housing,"23.75914645303138, 90.34560142302898"
Nakhalpara,"23.770702222003415, 90.39587895540527"
Narinda,"23.710683127844753, 90.4205271484302"
National Parliament House ,"23.781019112967787, 90.37248560043007"
National Zoo,"23.812385215219862, 90.34698481856312"
Naya Paltan,"23.73459027801036, 90.41371487931436"
Nayabazar,"23.714576772747364, 90.40403403484302"
Neela Market,"23.834332197507432, 90.48479783910751"
New market,"23.733306698256296, 90.38374538295768"
Niketan,"23.773793555853857, 90.41078375783205"
Nikunja 1,"23.8236800918188, 90.41841129675434"
Nikunja 2,"23.83279861213574, 90.4167626340228"
Nilkhet,"23.733133076092567, 90.3850766157467"
Nondipara,"23.74890023609504, 90.4516215631702"
Noor jahan Road,"23.760621916497936, 90.36176280206402"
North South University,"23.815277538796973, 90.42547076424017"
Notun Bazar,"23.79749348795045, 90.4237139801499"
Nurer Chala,"23.79698754317488, 90.43246902253573"
Osmani Udyan,"23.726089169424984, 90.40874238698586"
Paikpara,"23.788177611156954, 90.35952730098612"
South Paikpara,"23.78462149665584, 90.36446150123909"
Middle Paikpara,"23.790614891870728, 90.35924347530785"
Pallabi,"23.82844698990871, 90.36095211527795"
PG Hospital ,"23.73895782109403, 90.39362466608887"
Pink City ,"23.83108145334089, 90.46282734754803"
Police Plaza,"23.774242477535278, 90.41598794811036"
Postogola,"23.693064987141877, 90.43013918400378"
Press Club,"23.709590036781186, 90.42796922218056"
Puran Dhaka,"23.722455864933664, 90.38776863791101"
Purbachal,"23.8556826980268, 90.50487366755176"
Rajlokkhi Complex,"23.864407298736335, 90.399736694929"
Rajuk Trade Center ,"23.829675820274574, 90.41942160842014"
Ramna,"23.73741269764707, 90.40144483378396"
Rampura,"23.760873486392178, 90.42061036978188"
Rayer bazar,"23.743521887504897, 90.36167622278728"
Rayerbagh,"23.694274567097093, 90.45737025358338"
Rupayan Uttara,"23.876092417672627, 90.37956157905259"
Rupnagar R/A,"23.809535473019103, 90.35632046141234"
Sadarghat,"23.704920230821113, 90.41629392880428"
Sarulia,"23.712142476085166, 90.49040399295345"
Satrasta,"23.75768943973771, 90.39889324889458"
Savar ,"23.847235118940443, 90.25740482147071"
Sayedabad Bus Terminal,"23.715618121965, 90.42757510973425"
Science Lab,"23.739527493939022, 90.38380909504045"
Secretariat,"23.728543737583582, 90.39658276608853"
Shahbagh,"23.73926923300087, 90.39551308288586"
Shahidbagh,"23.742568085752026, 90.42000928276717"
Shahinbagh,"23.770207365917933, 90.39216831252685"
Shahjadpur,"23.791699886032266, 90.42491413547074"
Shahjahanpur,"23.744426914931378, 90.42353959302136"
Shakhari Bazar,"23.710126004019056, 90.40968349492377"
Shanir Akhra,"23.699506380859372, 90.45290987467429"
Shankar,"23.750878640826883, 90.36846011026877"
Shantibagh,"23.74526768465952, 90.41855520857388"
Shapla Chattar,"23.726744038603808, 90.42164096026795"
Shegunbagicha,"23.73366168283537, 90.40729600827689"
Sher-e-Bangla Agricultural University,"23.771809817829016, 90.37501155074635"
Sher-e-Bangla National Stadium,"23.80711187129673, 90.36361545162298"
Shewrapara,"23.79094369753041, 90.37486012421229"
Shiddhirganj,"23.689641810056496, 90.48395242561817"
Shishu Hospital,"23.774720021541565, 90.3696989138121"
Shobujbagh,"23.738909741056833, 90.42960696421137"
Shoinik Club,"23.791356222216844, 90.39944605687872"
Shyamoli,"23.77090557917849, 90.36384806528564"
Shyamoli Square,"23.77483882749372, 90.36544631026956"
Shyampur,"23.684833927532342, 90.44638375214089"
Signboard,"23.69196098222184, 90.48136792492541"
Sony Cinema Hall,"23.800596723356385, 90.35531993725503"
Square Hospital ,"23.75311200932124, 90.381378314238"
Star Kabab Dhanmondi,"23.739915584940274, 90.38151538972964"
Suhrawardy Udyan,"23.732347115869125, 90.3998804084168"
Sutrapur,"23.712143135744196, 90.41996290601092"
Tajmahal Road,"23.76483026537131, 90.36213213725384"
Tara Masjid,"23.716170089051165, 90.40181039294609"
Technical,"23.78149787280003, 90.35246112771259"
Tejgaon Industrial Area,"23.760019431424492, 90.39129990553859"
Tejturi Bazar,"23.75623497189328, 90.39215451399026"
Town Hall,"23.759739816492644, 90.36581120314878"
TSC,"23.739363547539245, 90.39468747407993"
UIU,"23.798010494541813, 90.44969926609087"
Ulon,"23.763986452595397, 90.41828430393944"
Uttar Khan,"23.87273827035963, 90.44776664806828"
Uttara 1,"23.858105043986644, 90.4009780758213"
Uttara 10,"23.884070392009892, 90.38850341801871"
Uttara 11,"23.876169717607542, 90.38720611542203"
Uttara 12,"23.871433256654242, 90.38108824654972"
Uttara 13,"23.871433256654242, 90.38778814644556"
Uttara 14,"23.867765343508758, 90.38695906184307"
Uttara 15,"23.861049813204456, 90.37215101665535"
Uttara 16,"23.86851637822715, 90.35483474999478"
Uttara 17,"23.846880750905903, 90.36485540817216"
Uttara 18,"23.855123330036513, 90.35777437647893"
Uttara 4,"23.86243003091632, 90.40464203326769"
Uttara 5,"23.864761239707796, 90.38997472577391"
Uttara 6,"23.87139236941201, 90.40429178390336"
Uttara 7,"23.871372679180478, 90.39748761634495"
Uttara 8,"23.87642523160438, 90.4027025919781"
Uttara 9,"23.877220546364615, 90.39735842321328"
Vasantek,"23.807074919411175, 90.38923645387413"
Wapda,"23.724329299083337, 90.42172598970535"
Wari,"23.717804321750464, 90.41799751045865"
